Disease,Species_Affected,Year,Outbreaks,Attacks,Deaths,Case_Fatality_Rate_Pct,Attacks_Per_Outbreak,Standardized_Disease,Source,Temporal_Role
Enterotoxaemia,Ovine/Caprine,2006,390,5200,1640,31.54,13.3,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Enterotoxaemia,Ovine/Caprine,2007,450,6100,1980,32.46,13.6,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Enterotoxaemia,Ovine/Caprine,2008,370,4900,1520,31.02,13.2,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Enterotoxaemia,Ovine/Caprine,2009,340,4400,1380,31.36,12.9,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Enterotoxaemia,Ovine/Caprine,2010,310,3900,1210,31.03,12.6,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Enterotoxaemia,Ovine/Caprine,2011,280,3500,1090,31.14,12.5,Enterotoxaemia (ET),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2005,180,2400,980,40.83,13.3,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2006,165,2150,890,41.4,13.0,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2007,195,2600,1120,43.08,13.3,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2008,150,1980,810,40.91,13.2,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2009,140,1820,740,40.66,13.0,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2010,120,1540,620,40.26,12.8,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Classical Swine Fever,Porcine,2011,110,1410,560,39.72,12.8,Classical Swine Fever (CSF),OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2005,310,480,480,100.0,1.5,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2006,290,440,440,100.0,1.5,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2007,340,520,520,100.0,1.5,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2008,280,410,410,100.0,1.5,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2009,260,380,380,100.0,1.5,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2010,230,330,330,100.0,1.4,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
Rabies,Multiple Livestock,2011,210,290,290,100.0,1.4,Rabies,OGD India / MOSPI / DAHD Historical Series,Historical Epidemiological Baseline
